SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,August-25-2016,Condo/Co-op,155 S Lexington Unit B307,Asheville,NC,28801,240250,1,1.0,Asheville,813,,2007,595,296,170,Sold,,,http://www.redfin.com/NC/Asheville/155-S-Lexington-Ave-28801/unit-B307/home/108378698,NCMMLS,3197293,N,Y,35.590514,-82.552231
PAST SALE,February-26-2016,Single Family Residential,97 Mcclain Rd,Asheville,NC,28803,510000,3,2.5,Asheville,2294,11325,2008,776,222,,Sold,,,http://www.redfin.com/NC/Asheville/53-S-French-Broad-Ave-28801/home/110927885,CMLS,3135719,N,Y,35.5913857,-82.5595327
PAST SALE,January-30-2015,Single Family Residential,,,NC,28801,245000,3,1.0,,1556,9147,1919,1168,157,,Sold,,,http://www.redfin.com/NC/Asheville/Undisclosed-address-28801/home/145020761,CMLS,NCM573548,N,Y,35.5927461,-82.5564559
PAST SALE,June-22-2012,Single Family Residential,,,NC,28801,100000,2,1.0,,1053,7405,1919,2120,95,,Sold,,,http://www.redfin.com/NC/Asheville/Undisclosed-address-28801/home/145035680,CMLS,NCM515068,N,Y,35.5927461,-82.5564559
PAST SALE,December-2-2015,Condo/Co-op,21 Battery Park #507,Asheville,NC,28801,432250,1,1.0,Asheville,1330,,2004,862,325,391,Sold,,,http://www.redfin.com/NC/Asheville/21-Battery-Park-Ave-28801/unit-507/home/102027280,NCMMLS,3122920,N,Y,35.5954708,-82.5553567
PAST SALE,September-11-2013,Condo/Co-op,55.5 Haywood,Asheville,NC,28801,250000,1,1.0,Downtown District,987,,1921,1674,253,136,Sold,,,http://www.redfin.com/NC/Asheville/1-Haywood-St-28801/unit-3B/home/102046040,NCMMLS,NCM520510,N,Y,35.5948683,-82.5536669
PAST SALE,January-27-2016,Condo/Co-op,100 Coxe Ave #301,Asheville,NC,28801,641050,2,2.0,Asheville,1439,,2002,806,445,362,Sold,,,http://www.redfin.com/NC/Asheville/100-Coxe-Ave-28801/unit-301/home/102065862,CMLS,3129613,N,Y,35.590796,-82.554851
PAST SALE,August-31-2016,Condo/Co-op,151 Haywood #1102,Asheville,NC,28801,110000,3,3.0,The Asheville Club At 151,1723,,2009,589,64,434,Sold,,,http://www.redfin.com/NC/Asheville/151-Haywood-St-28801/unit-1102/home/102877011,NCMMLS,3121022,N,Y,35.5966697,-82.5584511
PAST SALE,May-25-2016,Condo/Co-op,60 N Market #217,Asheville,NC,28801,850000,3,2.0,60 North Market,1968,,2008,687,432,572,Sold,,,http://www.redfin.com/NC/Asheville/60-N-Market-St-28801/unit-217/home/104306673,NCMMLS,3156442,N,Y,35.5979819,-82.5510846
PAST SALE,June-17-2016,Condo/Co-op,37 Hiawassee Unit W303,Asheville,NC,28801,199000,1,1.0,Asheville,643,,1965,664,309,239,Sold,,,http://www.redfin.com/NC/Asheville/37-Hiawassee-St-28801/unit-W303/home/104318858,NCMMLS,3161364,N,Y,35.5984815,-82.5550614
