SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,January-5-2017,Single Family Residential,70 Congress St,Asheville,NC,28801,172500,2,1.0,Asheville,832,6534,1920,461,207,,Sold,,,http://www.redfin.com/NC/Asheville/70-Congress-St-28801/home/102039216,CMLS,3215554,N,Y,35.5788271,-82.5557587
PAST SALE,August-30-2016,Single Family Residential,85 Saint Dunstans Rd,Asheville,NC,28803,940000,5,4.0,Asheville,4619,110381,1916,589,204,,Sold,,,http://www.redfin.com/NC/Asheville/85-Saint-Dunstans-Rd-28803/home/102030433,CMLS,3178172,N,Y,35.5722732,-82.5480675
PAST SALE,July-2-2015,Single Family Residential,18 Saint Dunstans Cir,Asheville,NC,28803,475000,3,3.0,Kenilworth,2167,,2015,1014,219,,Sold,,,http://www.redfin.com/NC/Asheville/18-Saint-Dunstans-Cir-28803/home/102043493,NCMMLS,NCM571869,N,Y,35.5705161,-82.5482222
PAST SALE,September-28-2016,Single Family Residential,18 Saint Dunstans Cir,Asheville,NC,28803,525000,3,2.5,Asheville,1167,8276,2015,560,450,,Sold,,,http://www.redfin.com/NC/Asheville/18-Saint-Dunstans-Cir-28803/home/111217755,CMLS,3218970,N,Y,35.5705161,-82.5482222
PAST SALE,September-24-2015,Single Family Residential,80 Saint Dunstans Rd,Asheville,NC,28803,385000,3,2.0,Asheville,1776,8712,2006,930,217,,Sold,,,http://www.redfin.com/NC/Asheville/80-Saint-Dunstans-Rd-28803/home/102044994,CMLS,NCM591265,N,Y,35.5716788,-82.547391
PAST SALE,October-5-2016,Single Family Residential,84 Saint Dunstans Rd,Asheville,NC,28803,450000,3,2.5,Asheville,2496,8712,2007,553,180,,Sold,,,http://www.redfin.com/NC/Asheville/84-Saint-Dunstans-Rd-28803/home/108523015,CMLS,3203898,N,Y,35.5715633,-82.5473451
PAST SALE,October-4-2016,Single Family Residential,12 W Haith Dr Lot 19,Asheville,NC,28801,200000,3,1.5,Asheville,1080,9147,1971,554,185,,Sold,,,http://www.redfin.com/NC/Asheville/12-W-Haith-Dr-28801/unit-19/home/145023248,CMLS,3203223,N,Y,35.572441,-82.5574806
PAST SALE,April-28-2015,Single Family Residential,32 Water St,Asheville,NC,28801,165000,3,2.0,Asheville,1260,4356,2006,1079,131,,Sold,,,http://www.redfin.com/NC/Asheville/32-Water-St-28801/home/102043319,CMLS,NCM576240,N,Y,35.5758471,-82.5577447
PAST SALE,October-13-2015,Single Family Residential,114 Oakland Rd,Asheville,NC,28801,240000,3,2.0,Asheville,1267,9583,1951,911,189,,Sold,,,http://www.redfin.com/NC/Asheville/114-Oakland-Rd-28801/home/102049238,CMLS,NCM593432,N,Y,35.5748471,-82.5587588
PAST SALE,December-14-2016,Single Family Residential,29 Churchill St #3,Asheville,NC,28801,317000,3,2.0,Asheville,1460,4791,2016,483,217,,Sold,,,http://www.redfin.com/NC/Asheville/29-Churchill-St-28801/unit-3/home/111703576,CMLS,3226916,N,Y,35.5810626,-82.5556401
