SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,August-25-2016,Multi-Family (2-4 Unit),302 S French Broad Ave,Asheville,NC,28801,321000,4,3.0,Asheville,2748,7840,1905,594,117,,Sold,,,http://www.redfin.com/NC/Asheville/302-S-French-Broad-Ave-28801/home/106200287,CMLS,3185430,N,Y,35.5833391,-82.5593082
PAST SALE,June-9-2015,Single Family Residential,14 Ora St,Asheville,NC,28801,347500,4,2.5,Asheville,2444,13939,1914,1037,142,,Sold,,,http://www.redfin.com/NC/Asheville/14-Ora-St-28801/home/102047999,CMLS,NCM582531,N,Y,35.5820878,-82.5607237
PAST SALE,August-19-2016,Single Family Residential,146 Blanton St,Asheville,NC,28801,327000,5,2.5,Asheville,2023,6098,1928,600,162,,Sold,,,http://www.redfin.com/NC/Asheville/146-Blanton-St-28801/home/104520825,CMLS,3167864,N,Y,35.5823977,-82.5578292
PAST SALE,January-13-2017,Single Family Residential,158 Bartlett St,Asheville,NC,28801,126000,3,1.0,Asheville,1014,4791,1917,453,124,,Sold,,,http://www.redfin.com/NC/Asheville/158-Bartlett-St-28801/home/110849792,CMLS,3202936,N,Y,35.5814861,-82.5619913
PAST SALE,December-10-2015,Single Family Residential,176 S Grove St,Asheville,NC,28801,190000,2,1.0,Asheville,1056,4791,1929,853,180,,Sold,,,http://www.redfin.com/NC/Asheville/176-S-Grove-St-28801/home/102233956,CMLS,3128620,N,Y,35.5878264,-82.5577105
PAST SALE,November-4-2016,Single Family Residential,152 Bartlett St,Asheville,NC,28801,178000,2,1.0,Asheville,998,6969,1916,523,178,,Sold,,,http://www.redfin.com/NC/Asheville/152-Bartlett-St-28801/home/109311639,CMLS,3223594,N,Y,35.5817559,-82.5618856
PAST SALE,December-8-2015,Vacant Land,99999 John #1,Asheville,NC,28801,60000,0,,Asheville,,,,855,,,Sold,,,http://www.redfin.com/NC/Asheville/1-John-St-28801/home/102231489,NCMMLS,NCM594451,N,Y,35.581401,-82.561961
PAST SALE,August-12-2016,Single Family Residential,24 Adams,Asheville,NC,28801,393700,2,3.0,Asheville,2094,6969,2016,607,188,,Sold,,,http://www.redfin.com/NC/Asheville/24-Adams-St-28801/unit-A1/home/103937923,NCMMLS,3149546,N,Y,35.5819555,-82.5588698
PAST SALE,,Multi-Family (2-4 Unit),114 Clingman Ave,Asheville,NC,28801,215000,5,2.0,,1755,11326,1915,,123,,,,,http://www.redfin.com/NC/Asheville/114-Clingman-Ave-28801/home/110850035,,,N,Y,35.5892546,-82.5637228
PAST SALE,August-12-2016,Single Family Residential,24 Adams St,Asheville,NC,28801,393700,2,3.0,Asheville,2094,6969,2016,607,188,,Sold,,,http://www.redfin.com/NC/Asheville/24-Adams-St-28801/home/111292085,CMLS,3149546,N,Y,35.5819555,-82.5588698
PAST SALE,December-4-2015,Single Family Residential,118 Choctaw St,Asheville,NC,28801,145000,4,2.0,Asheville,1809,9583,2002,859,80,,Sold,,,http://www.redfin.com/NC/Asheville/118-Choctaw-St-28801/home/111290859,CMLS,NCM593244,N,Y,35.5816844,-82.5566038
PAST SALE,January-7-2016,Single Family Residential,186 S French Broad Ave,Asheville,NC,28801,294500,4,1.5,Asheville,2648,10890,1927,825,111,,Sold,,,http://www.redfin.com/NC/Asheville/186-S-French-Broad-Ave-28801/home/102030327,CMLS,3127867,N,Y,35.5871537,-82.5591391
PAST SALE,January-18-2017,Single Family Residential,138 S French Broad Ave,Asheville,NC,28801,342500,3,3.0,Asheville,1719,6098,1905,448,199,,Sold,,,http://www.redfin.com/NC/Asheville/138-S-French-Broad-Ave-28801/home/102038545,CMLS,3233901,N,Y,35.5888431,-82.5589701
PAST SALE,October-27-2016,Single Family Residential,30 Ora St #116,Asheville,NC,28801,206000,2,1.0,Asheville,776,8712,1983,531,265,,Sold,,,http://www.redfin.com/NC/Asheville/30-Ora-St-28801/unit-116/home/145035828,CMLS,3202101,N,Y,35.581587,-82.560862
PAST SALE,September-26-2016,Single Family Residential,193 S Grove St,Asheville,NC,28801,155000,3,1.0,Asheville,1375,4356,1926,562,113,,Sold,,,http://www.redfin.com/NC/Asheville/193-S-Grove-St-28801/home/108294749,CMLS,3195780,N,Y,35.5872289,-82.558294
PAST SALE,April-8-2016,Single Family Residential,158 Blanton St,Asheville,NC,28801,359000,3,2.5,Asheville,1518,6534,2015,733,236,,Sold,,,http://www.redfin.com/NC/Asheville/158-Blanton-St-28801/home/102049876,CMLS,3145196,N,Y,35.5818478,-82.5578715
PAST SALE,August-28-2017,Vacant Land,0 Bird Dog Way Unit Sub lot 16-20,Asheville,NC,28801,80000,,,Asheville,,28314,,226,,,Sold,,,http://www.redfin.com/NC/Asheville/0-Bird-Dog-Way-28801/unit-Sub-lot-16-20/home/145054085,CMLS,3308906,N,Y,35.5898152,-82.5625586
