SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,December-15-2016,Single Family Residential,67 Jefferson Dr,Asheville,NC,28801,430000,3,2.5,Asheville,2040,4791,2016,482,211,,Sold,,,http://www.redfin.com/NC/Asheville/67-Jefferson-Dr-28801/home/102059021,CMLS,3217336,N,Y,35.5888182,-82.565036
PAST SALE,December-14-2015,Single Family Residential,60 Park Sq,Asheville,NC,28801,296000,3,2.0,Asheville,1494,3484,1905,849,198,,Sold,,,http://www.redfin.com/NC/Asheville/60-Park-Sq-28801/home/102026270,CMLS,NCM594774,N,Y,35.5887173,-82.5672516
PAST SALE,July-8-2016,Single Family Residential,28 Jefferson Dr,Asheville,NC,28801,280000,3,2.0,Asheville,1552,3920,2004,642,180,,Sold,,,http://www.redfin.com/NC/Asheville/28-Jefferson-Dr-28801/home/104322367,CMLS,3162971,N,Y,35.5896578,-82.5645898
PAST SALE,May-13-2016,Single Family Residential,20 Jefferson Dr,Asheville,NC,28801,271000,3,2.0,Asheville,1560,6534,2002,698,174,,Sold,,,http://www.redfin.com/NC/Asheville/20-Jefferson-Dr-28801/home/104372126,CMLS,3163622,N,Y,35.5902178,-82.5647286
PAST SALE,September-30-2016,Single Family Residential,26 Jefferson Dr,Asheville,NC,28801,295000,3,2.0,Asheville,1552,3484,2004,558,190,,Sold,,,http://www.redfin.com/NC/Asheville/26-Jefferson-Dr-28801/home/108278304,CMLS,3194793,N,Y,35.5898081,-82.5645971
PAST SALE,September-14-2016,Condo/Co-op,64 Clingman Ave #205,Asheville,NC,28801,220000,2,2.0,Asheville,1034,,2002,574,213,229,Sold,,,http://www.redfin.com/NC/Asheville/64-Clingman-Ave-28801/unit-205/home/105487013,CMLS,3173874,N,Y,35.5905583,-82.5622385
PAST SALE,September-1-2015,Condo/Co-op,"125 CLINGMAN AVE, UNIT #103",Asheville,NC,28801,164000,1,1.0,Asheville,624,,2008,953,263,120,Sold,,,http://www.redfin.com/NC/Asheville/125-Clingman-Ave-28801/unit-103/home/111241250,CMLS,NCM590595,N,Y,35.5890926,-82.5641252
PAST SALE,March-15-2016,Single Family Residential,83 Clingman Ave,Asheville,NC,28801,185000,2,1.0,Asheville,1102,2613,1915,757,168,,Sold,,,http://www.redfin.com/NC/Asheville/83-Clingman-Ave-28801/home/103759040,CMLS,3146846,N,Y,35.5902287,-82.5629146
PAST SALE,June-12-2015,Condo/Co-op,125 Clingman Ave,Asheville,NC,28801,164900,1,1.0,Asheville,600,,2008,1034,275,,Sold,,,http://www.redfin.com/NC/Asheville/125-Clingman-Ave-28801/unit-202/home/111237504,CMLS,NCM584757,N,Y,35.5890668,-82.5638317
PAST SALE,September-1-2015,Condo/Co-op,"125 Clingman Ave,",Asheville,NC,28801,164000,1,1.0,Clingman Lofts,624,,2008,953,263,120,Sold,,,http://www.redfin.com/NC/Asheville/125-Clingman-Avenue-Extention-28801/home/102039321,NCMMLS,NCM590595,N,Y,35.5891415,-82.5640555
PAST SALE,December-21-2015,Single Family Residential,46 N Park Ave,Asheville,NC,28801,800000,5,4.0,Asheville,3241,11761,2014,842,247,,Sold,,,http://www.redfin.com/NC/Asheville/46-Park-Ave-N-28803/home/111230435,CMLS,3137321,N,Y,35.5889876,-82.5654348
PAST SALE,July-8-2016,Single Family Residential,14 Club,Asheville,NC,28801,340000,3,1.0,Bi Cotton Mills,1556,,1905,642,219,,Sold,,,http://www.redfin.com/NC/Asheville/14-Club-St-28801/home/108283893,NCMMLS,3194750,N,Y,35.590706,-82.5679593
PAST SALE,December-21-2015,Single Family Residential,46 N Park,Asheville,NC,28801,800000,5,4.0,Asheville,3241,,2014,842,247,,Sold,,,http://www.redfin.com/NC/Asheville/46-Park-Ave-N-28803/home/102393100,NCMMLS,3137321,N,Y,35.5889876,-82.5654348
PAST SALE,November-20-2015,Condo/Co-op,82 Owens Bell Ln,Asheville,NC,28801,186000,2,1.0,Asheville,996,435,1910,873,187,162,Sold,,,http://www.redfin.com/NC/Asheville/82-Owens-Bell-Ln-28801/home/102029685,CMLS,NCM593431,N,Y,35.590548,-82.564087
PAST SALE,October-24-2017,Single Family Residential,409 W Haywood St #1110,Asheville,NC,28801,560000,4,3.5,Asheville,1949,1742,2017,169,287,,Sold,,,http://www.redfin.com/NC/Asheville/409-W-Haywood-St-28801/unit-1110/home/143193357,CMLS,3310167,N,Y,35.5903599,-82.56662
PAST SALE,November-1-2017,Vacant Land,21 Girdwood St,Asheville,NC,28801,157000,,,Asheville,,5227,,161,,,Sold,,,http://www.redfin.com/NC/Asheville/21-Girdwood-St-28801/home/102401601,CMLS,3326221,N,Y,35.589516,-82.567103
PAST SALE,,Vacant Land,W Haywood St,Asheville,NC,28801,110000,,,,,5227,,,,,,,,http://www.redfin.com/NC/Asheville/W-Haywood-St-28801/home/110849778,,,N,Y,35.590098,-82.567398
PAST SALE,,Vacant Land,22 Green St,Asheville,NC,28801,135000,,,,,5227,,,,,,,,http://www.redfin.com/NC/Asheville/22-Green-St-28801/home/111268399,,,N,Y,35.589539,-82.567358
PAST SALE,November-30-2017,Single Family Residential,116 Green Creek Loop,Asheville,NC,28804,287000,3,2.5,Asheville,1632,6098,2017,132,176,40,Sold,,,http://www.redfin.com/NC/Asheville/116-Green-St-28801/home/144393689,CMLS,3254660,N,Y,35.5895652,-82.5675617
PAST SALE,February-12-2018,Condo/Co-op,125 Clingman Ave #105,Asheville,NC,28801,192000,1,1.0,Asheville,624,,2008,58,308,124,Sold,,,http://www.redfin.com/NC/Asheville/125-Clingman-Ave-28801/unit-105/home/111299398,CMLS,3327615,N,Y,35.5890926,-82.5641252
PAST SALE,February-13-2018,Single Family Residential,427 W Haywood St,Asheville,NC,28801,366000,3,2.0,Asheville,1590,3049,2017,57,230,,Sold,,,http://www.redfin.com/NC/Asheville/427-W-Haywood-St-28801/home/143712752,CMLS,3315681,N,Y,35.5902539,-82.5675179
PAST SALE,September-26-2016,Condo/Co-op,125 Clingman Ave #307,Asheville,NC,28801,259000,2,2.0,Asheville,978,,2008,562,265,158,Sold,,,http://www.redfin.com/NC/Asheville/125-Clingman-Ave-28801/unit-307/home/110915945,CMLS,3190986,N,Y,35.5890668,-82.5638317
PAST SALE,June-1-2015,Vacant Land,87 Jefferson Dr,Asheville,NC,28801,29000,,,Asheville,,4791,,1045,,,Sold,,,http://www.redfin.com/NC/Asheville/87-Jefferson-Dr-28801/home/102060768,CMLS,NCM575611,N,Y,35.588231,-82.5652019
PAST SALE,June-13-2016,Condo/Co-op,64 Clingman Ave #207,Asheville,NC,28801,240000,2,2.0,Asheville,1034,,2002,667,232,219,Sold,,,http://www.redfin.com/NC/Asheville/64-Clingman-Ave-28801/unit-207/home/111086887,CMLS,3167667,N,Y,35.590551,-82.562235
PAST SALE,June-1-2015,Vacant Land,81 Jefferson Dr,Asheville,NC,28801,29000,,,Asheville,,4791,,1045,,,Sold,,,http://www.redfin.com/NC/Asheville/81-Jefferson-Dr-28801/home/102060769,CMLS,NCM575613,N,Y,35.5884168,-82.5651887
