SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,December-28-2012,Single Family Residential,13 Parker Rd,Asheville,NC,28803,130000,1,1.0,Asheville,652,4791,1926,1931,199,,Sold,,,http://www.redfin.com/NC/Asheville/13-Parker-Rd-28803/home/102042340,CMLS,NCM521513,N,Y,35.572435,-82.516026
PAST SALE,August-29-2014,Single Family Residential,85 Third St,Asheville,NC,28803,128000,2,2.0,Asheville,1115,16117,1983,1322,115,,Sold,,,http://www.redfin.com/NC/ASHEVILLE/85-3RD-ST-28803/home/111270318,CMLS,NCM566960,N,Y,35.569645,-82.52509
PAST SALE,January-9-2017,Single Family Residential,500 Fairview Rd,Asheville,NC,28803,220000,2,1.0,Asheville,1108,7405,1936,458,199,,Sold,,,http://www.redfin.com/NC/Asheville/500-Fairview-Rd-28803/home/111341716,CMLS,3204678,N,Y,35.566772,-82.52327
PAST SALE,August-21-2015,Single Family Residential,18 First St,Asheville,NC,28803,125000,2,1.0,Asheville,986,10890,1925,965,127,,Sold,,,http://www.redfin.com/NC/Asheville/18-Lawterdale-Circle-1-28804/home/111279364,CMLS,NCM589146,N,Y,35.568494,-82.528449
PAST SALE,March-2-2016,Single Family Residential,522 Fairview Rd,Asheville,NC,28803,241000,3,2.0,Asheville,1290,5837,2012,771,187,,Sold,,,http://www.redfin.com/NC/Asheville/522-Fairview-Rd-28803/home/102026277,CMLS,3118759,N,Y,35.5665594,-82.5224025
PAST SALE,June-13-2016,Single Family Residential,7 Broadview Dr,Asheville,NC,28803,220000,3,2.0,Asheville,1472,13068,1955,668,149,,Sold,,,http://www.redfin.com/NC/Asheville/7-Broadview-Dr-28803/home/102028950,CMLS,3166146,N,Y,35.5638648,-82.5037253
PAST SALE,December-22-2015,Single Family Residential,10 Stoner Rd,Asheville,NC,28803,80000,4,2.0,Asheville,1786,7840,2005,842,45,,Sold,,,http://www.redfin.com/NC/Asheville/10-Stoner-Rd-28803/home/102029705,CMLS,NCM593467,N,Y,35.5680937,-82.5341198
PAST SALE,July-31-2015,Single Family Residential,8 Melody Ln,Asheville,NC,28803,169900,2,1.0,Asheville,884,10018,1960,986,192,,Sold,,,http://www.redfin.com/NC/Asheville/8-Melody-Ln-28803/home/102038009,CMLS,NCM587879,N,Y,35.5676729,-82.532133
PAST SALE,February-20-2014,Single Family Residential,341 Fairview Rd,Asheville,NC,28803,110000,2,1.0,Oakley,780,,1952,1512,141,,Sold,,,http://www.redfin.com/NC/Asheville/341-Fairview-Rd-28803/home/102038155,NCMMLS,NCM554004,N,Y,35.5672652,-82.5296058
PAST SALE,December-13-2013,Single Family Residential,2 Greenwood Rd,Asheville,NC,28803,220000,3,3.0,Oakley,1700,,2013,1581,129,,Sold,,,http://www.redfin.com/NC/Asheville/2-Greenwood-Rd-28803/home/102039039,NCMMLS,NCM542000,N,Y,35.5632427,-82.5104233
