SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,59 Dunkirk Rd #42,Asheville,NC,28803,599999,4,5.5,Asheville,2456,6534,1956,1,244,,Active,,,http://www.redfin.com/NC/Asheville/59-Dunkirk-Rd-28803/unit-42/home/116815672,CMLS,3379727,N,Y,35.5739862,-82.5338661
MLS Listing,,Single Family Residential,95 Caledonia Rd #12,Asheville,NC,28803,549900,4,3.5,Asheville,2680,10454,2018,5,205,,Active,,,http://www.redfin.com/NC/Asheville/95-Caledonia-Rd-28803/unit-12/home/113423259,CMLS,3376935,N,Y,35.5726245,-82.5395385
MLS Listing,,Single Family Residential,77 Kenilworth Rd,Asheville,NC,28803,1950000,8,8.5,Asheville,7123,27442,1924,9,274,,Active,,,http://www.redfin.com/NC/Asheville/77-Kenilworth-Rd-28803/home/111255150,CMLS,3375437,N,Y,35.5752578,-82.537924
MLS Listing,,Condo/Co-op,9 Kenilworth Knl #105,Asheville,NC,28805,204900,1,1.0,Asheville,813,,2007,12,252,239,Active,,,http://www.redfin.com/NC/Asheville/9-Kenilworth-Knls-28805/unit-105/home/110912992,CMLS,3375328,N,Y,35.588655,-82.5274619
MLS Listing,,Vacant Land,9999 Unadilla Ave Unit 40 1/2,Asheville,NC,28803,300000,,,Asheville,,24393,,15,,,Active,,,http://www.redfin.com/NC/Asheville/9999-Unadilla-Ave-28803/unit-40-1-2/home/145239472,CMLS,3373974,N,Y,35.5748335,-82.545435
MLS Listing,,Vacant Land,20 Dunkirk Rd #66,Asheville,NC,28803,99900,,,Asheville,,6838,,16,,,Active,,,http://www.redfin.com/NC/Asheville/20-Dunkirk-Rd-28803/unit-66/home/145236252,CMLS,3372831,N,Y,35.5750681,-82.5332378
MLS Listing,,Single Family Residential,55 Mclain St,Asheville,NC,28803,259900,3,2.0,Asheville,1200,7840,2011,27,217,,Active,,,http://www.redfin.com/NC/Asheville/55-McLain-St-28803/home/133167089,CMLS,3368242,N,Y,35.5787994,-82.5405225
MLS Listing,,Single Family Residential,85 Unadilla Ave,Asheville,NC,28803,479900,3,2.5,Asheville,2030,4791,2015,28,236,,Active,,,http://www.redfin.com/NC/Asheville/85-Unadilla-Ave-28803/home/111263520,CMLS,3367849,N,Y,35.5749381,-82.5457835
MLS Listing,,Single Family Residential,84 Forest Hill Dr,Asheville,NC,28803,445000,5,2.5,Asheville,2335,7405,1927,34,191,,Active,,,http://www.redfin.com/NC/Asheville/84-Forest-Hill-Dr-28803/home/111277531,CMLS,3366420,N,Y,35.5775472,-82.5450452
MLS Listing,,Condo/Co-op,9 Kenilworth Knl #221,Asheville,NC,28805,210000,1,1.0,Asheville,988,,2006,34,213,286,Active,,,http://www.redfin.com/NC/Asheville/9-Kenilworth-Knls-28805/unit-221/home/111221872,CMLS,3367429,N,Y,35.588655,-82.5274619
