SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,18 Oakview Rd,Asheville,NC,28803,349000,4,2.0,Asheville,1729,5227,1915,5,202,,Active,,,http://www.redfin.com/NC/Asheville/18-Oakview-Rd-28803/home/108547412,CMLS,3377262,N,Y,35.5687876,-82.5302308
MLS Listing,,Condo/Co-op,46 Eastview Ave Unit U46,Asheville,NC,28803,120000,3,2.0,Asheville,1024,,1977,14,117,73,Active,,,http://www.redfin.com/NC/Asheville/46-Eastview-Ave-28803/unit-U46/home/145241464,CMLS,3374075,N,Y,35.566139,-82.530693
MLS Listing,,Single Family Residential,23 Greenwood Rd #4,Asheville,NC,28803,349900,3,2.5,Asheville,1772,7840,2018,19,197,,Active,,,http://www.redfin.com/NC/Asheville/23-Greenwood-Rd-28803/unit-4/home/145207554,CMLS,3373258,N,Y,35.5630245,-82.5107499
MLS Listing,,Vacant Land,89 Merchant St,Asheville,NC,28803,80000,,,Asheville,,11369,,19,,,Active,,,http://www.redfin.com/NC/Asheville/89-Merchant-St-28803/home/145207788,CMLS,3373199,N,Y,35.5627231,-82.5175388
MLS Listing,,Vacant Land,83 Merchant St,Asheville,NC,28803,65000,,,Asheville,,8189,,19,,,Active,,,http://www.redfin.com/NC/Asheville/83-Merchant-St-28803/home/145207673,CMLS,3373161,N,Y,35.562934,-82.5174802
MLS Listing,,Vacant Land,95 Merchant St,Asheville,NC,28803,80000,,,Asheville,,17031,,19,,,Active,,,http://www.redfin.com/NC/Asheville/95-Merchant-St-28803/home/145207532,CMLS,3373146,N,Y,35.5624697,-82.5175269
MLS Listing,,Single Family Residential,1 Cedar Chine NONE,Asheville,NC,28803,1195000,5,5.5,Asheville,6120,52272,1992,21,195,,Active,,,http://www.redfin.com/NC/Asheville/1-Cedar-Chine-NONE-28803/home/145238665,CMLS,3372061,N,Y,35.5671423,-82.5437614
MLS Listing,,Single Family Residential,15 3rd St Unit 11-13,Asheville,NC,28803,325000,3,1.5,Asheville,1186,42253,1920,27,274,,Active,,,http://www.redfin.com/NC/Asheville/15-3rd-St-28803/unit-11-13/home/145128191,CMLS,3370082,N,Y,35.5671423,-82.5437614
MLS Listing,,Single Family Residential,7 Homewood Dr,Asheville,NC,28803,249999,4,1.5,Asheville,1225,12196,1994,31,204,,Active,,,http://www.redfin.com/NC/Asheville/7-Homewood-Dr-28803/home/111111547,CMLS,3367073,N,Y,35.56903,-82.5149687
MLS Listing,,Vacant Land,0 Britt Dr,Asheville,NC,28805,1100000,,,Asheville,,397702,,36,,,Active,,,http://www.redfin.com/NC/Asheville/0-Britt-Dr-28805/home/145079596,CMLS,3367086,N,Y,35.573929,-82.5272828
