SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,November-28-2016,Single Family Residential,1 Hillside,Asheville,NC,28801,400000,2,2.0,Ew Grove,1397,4356,1907,500,286,,Sold,,,http://www.redfin.com/NC/Asheville/1-Hillside-St-28801/home/105407189,NCMMLS,3161072,N,Y,35.6063291,-82.561891
PAST SALE,March-18-2013,Condo/Co-op,24 Spears Ave,Asheville,NC,28804,160000,2,2.0,Asheville,1424,7840,1984,1851,112,,Sold,,,http://www.redfin.com/NC/Asheville/24-Spears-Ave-28801/home/102038750,CMLS,NCM527107,N,Y,35.60947,-82.556757
PAST SALE,February-17-2016,Single Family Residential,73 Hillside St,Asheville,NC,28801,165000,2,1.0,Asheville,1245,7840,1925,785,133,,Sold,,,http://www.redfin.com/NC/Asheville/73-Hillside-St-28801/home/102028872,CMLS,NCM591741,N,Y,35.6069348,-82.5588607
PAST SALE,December-27-2012,Single Family Residential,50 Highland St,Asheville,NC,28801,275000,3,2.0,Asheville,1344,7840,1925,1932,205,,Sold,,,http://www.redfin.com/NC/Asheville/50-Highland-St-28801/home/102034905,CMLS,NCM528954,N,Y,35.6051473,-82.5557099
PAST SALE,March-5-2013,Single Family Residential,44 Highland St,Asheville,NC,28801,216000,3,1.5,Asheville,1293,7405,1921,1864,167,,Sold,,,http://www.redfin.com/NC/Asheville/44-Highland-St-28801/home/102043808,CMLS,NCM531188,N,Y,35.6049748,-82.5556677
PAST SALE,June-23-2015,Condo/Co-op,16 Spears Ave,Asheville,NC,28801,182000,3,3.0,Oak Terrace,1378,,1987,1024,132,170,Sold,,,http://www.redfin.com/NC/Asheville/16-Spears-Ave-28801/home/102031713,NCMMLS,NCM580734,N,Y,35.610506,-82.557723
PAST SALE,March-3-2016,Condo/Co-op,1 Holland Mtn #1,Asheville,NC,28804,348000,3,3.0,Pinebrook Farms,1940,,2013,770,179,190,Sold,,,http://www.redfin.com/NC/Asheville/1-Holland-St-28801/unit-1/home/102507205,NCMMLS,3137669,N,Y,35.603355,-82.5549089
PAST SALE,,Single Family Residential,32 Marlowe Dr,Asheville,NC,28801,320000,3,2.0,,1144,6098,1960,,280,,,,,http://www.redfin.com/NC/Asheville/32-Marlowe-Dr-28801/home/102045655,,,N,Y,35.6081367,-82.5596885
PAST SALE,November-3-2017,Single Family Residential,25 Monroe Pl,Asheville,NC,28801,410000,3,1.5,Asheville,1540,4791,1915,160,266,,Sold,,,http://www.redfin.com/NC/Asheville/25-Monroe-Pl-28801/home/110849940,CMLS,3316462,N,Y,35.6025669,-82.5555051
PAST SALE,June-9-2017,Condo/Co-op,190 Broadway St #401,Asheville,NC,28801,410000,1,1.0,Asheville,1137,,2008,307,361,284,Sold,,,http://www.redfin.com/NC/Asheville/190-Broadway-St-28801/unit-401/home/111049472,CMLS,3124507,N,Y,35.6012558,-82.5553534
PAST SALE,September-14-2017,Single Family Residential,142 Mount Clare Ave,Asheville,NC,28801,149000,2,1.0,Asheville,1102,6098,1927,210,135,,Sold,,,http://www.redfin.com/NC/Asheville/142-Mount-Clare-Ave-28801/home/110862799,CMLS,3300262,N,Y,35.6082106,-82.5574489
PAST SALE,April-24-2017,Single Family Residential,43 Mount Clare Ave,Asheville,NC,28801,484800,3,3.0,Asheville,1797,4356,2014,353,270,,Sold,,,http://www.redfin.com/NC/Asheville/43-Mount-Clare-Ave-28801/home/102048186,CMLS,3262194,N,Y,35.6048704,-82.5575747
PAST SALE,,Condo/Co-op,190 Broadway St Apt 303,Asheville,NC,28801,488000,2,2.0,,1254,,2008,,389,,,,,http://www.redfin.com/NC/Asheville/190-Broadway-St-28801/unit-303/home/111086648,,,N,Y,35.6012558,-82.5553534
PAST SALE,May-5-2017,Single Family Residential,78 West St,Asheville,NC,28801,246000,3,1.5,Asheville,1398,7405,1920,342,176,,Sold,,,http://www.redfin.com/NC/Asheville/78-West-St-28801/home/111193518,CMLS,3238505,N,Y,35.6069613,-82.5612941
PAST SALE,June-9-2017,Condo/Co-op,190 Broadway St #310,Asheville,NC,28801,235000,1,1.0,Asheville,512,,2008,307,459,,Sold,,,http://www.redfin.com/NC/Asheville/190-Broadway-St-28801/unit-310/home/111298945,CMLS,3256256,N,Y,35.6012558,-82.5553534
PAST SALE,December-9-2016,Single Family Residential,50 Fulton St #38,Asheville,NC,28801,217000,2,1.5,Asheville,1330,6534,1920,489,163,,Sold,,,http://www.redfin.com/NC/Asheville/50-Fulton-St-28801/unit-38/home/112348834,CMLS,3196086,N,Y,35.605133,-82.5562776
PAST SALE,March-16-2015,Single Family Residential,22 West,Asheville,NC,28801,378500,3,2.0,Doubleday Additions,1585,,1927,1123,239,,Sold,,,http://www.redfin.com/NC/Asheville/22-West-St-28801/home/102036730,NCMMLS,NCM576821,N,Y,35.6055518,-82.5598045
PAST SALE,August-11-2017,Single Family Residential,9 Hillside St,Asheville,NC,28801,235000,2,1.0,Asheville,969,3920,1915,244,243,,Sold,,,http://www.redfin.com/NC/Asheville/9-Hillside-St-28801/home/111282777,CMLS,3279160,N,Y,35.6062494,-82.5614631
PAST SALE,January-25-2018,Single Family Residential,22 Montview Dr,Asheville,NC,28801,457000,3,2.5,Asheville,1548,6534,2009,77,295,,Sold,,,http://www.redfin.com/NC/Asheville/22-Montview-Dr-28801/home/111153814,CMLS,3343330,N,Y,35.6135246,-82.5594626
PAST SALE,June-1-2015,Single Family Residential,145 Coleman Ave,Asheville,NC,28801,406000,4,3.0,Asheville,1955,10454,2004,1046,208,,Sold,,,http://www.redfin.com/NC/Asheville/145-Coleman-Ave-28801/home/102046805,CMLS,NCM582254,N,Y,35.6127776,-82.557787
PAST SALE,July-30-2012,Single Family Residential,54 Holland St,Asheville,NC,28801,184000,3,1.0,Asheville,1584,4356,1915,2082,116,,Sold,,,http://www.redfin.com/NC/Asheville/54-Holland-St-28801/home/110970744,CMLS,NCM515117,N,Y,35.6055046,-82.5549135
