SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,February-3-2017,Vacant Land,99999 Cumberland Ave,Asheville,NC,28801,225000,,,Asheville,,6098,,432,,,Sold,,,http://www.redfin.com/NC/Asheville/99999-Cumberland-Ave-28801/home/145052010,CMLS,3240323,N,Y,35.6024986,-82.5634485
PAST SALE,September-7-2016,Single Family Residential,314 Westover Dr,Asheville,NC,28801,350000,4,2.0,Asheville,1688,17859,2001,581,207,,Sold,,,http://www.redfin.com/NC/Asheville/314-Westover-Dr-28801/home/108557872,CMLS,3205148,N,Y,35.6063497,-82.5741416
PAST SALE,January-24-2017,Single Family Residential,52 Cumberland,Asheville,NC,28801,670000,3,3.0,Montford,2600,12632,1912,442,258,,Sold,,,http://www.redfin.com/NC/Asheville/52-Cumberland-Ave-28801/home/110130132,NCMMLS,3232551,N,Y,35.5991713,-82.5596884
PAST SALE,January-30-2017,Single Family Residential,178 Courtland Pl,Asheville,NC,28801,472500,3,2.5,Asheville,1686,6229,2016,436,280,,Sold,,,http://www.redfin.com/NC/Asheville/178-Courtland-Pl-28801/home/111036853,CMLS,3236815,N,Y,35.598426,-82.56864
PAST SALE,February-4-2016,Single Family Residential,177 Houston,Asheville,NC,28801,77500,2,1.0,Asheville,900,,1925,797,86,,Sold,,,http://www.redfin.com/NC/Asheville/177-Houston-St-28801/home/102189061,NCMMLS,3133621,N,Y,35.5966609,-82.568446
PAST SALE,February-4-2016,Single Family Residential,177 Houston Cir,Asheville,NC,28801,77500,2,1.0,Asheville,900,9583,1925,797,86,,Sold,,,http://www.redfin.com/NC/Asheville/177-Houston-Cir-28801/home/111027359,CMLS,3133621,N,Y,35.596127,-82.567627
PAST SALE,March-18-2016,Single Family Residential,116 Houston St,Asheville,NC,28801,419000,3,2.5,Asheville,1820,6969,2015,754,230,,Sold,,,http://www.redfin.com/NC/Asheville/116-Houston-St-28801/home/111036345,CMLS,NCM592935,N,Y,35.5971326,-82.5677927
PAST SALE,October-2-2015,Single Family Residential,119 Houston St,Asheville,NC,28801,395000,4,2.0,Asheville,1911,15681,1925,922,207,,Sold,,,http://www.redfin.com/NC/Asheville/119-Houston-St-28801/home/102034866,CMLS,NCM587459,N,Y,35.5967032,-82.5678853
PAST SALE,September-9-2015,Single Family Residential,53 Panola St,Asheville,NC,28801,430000,3,2.5,Asheville,2393,29620,1905,945,180,,Sold,,,http://www.redfin.com/NC/Asheville/53-Panola-St-28801/home/102037377,CMLS,NCM577003,N,Y,35.6081726,-82.5678443
PAST SALE,April-20-2016,Single Family Residential,435 Pearson,Asheville,NC,28801,305000,3,2.0,Montford,1215,,1964,721,251,,Sold,,,http://www.redfin.com/NC/Asheville/435-Pearson-Dr-28801/home/102049975,NCMMLS,3145680,N,Y,35.6068015,-82.5759516
PAST SALE,May-3-2016,Single Family Residential,34 Gray St,Asheville,NC,28801,385000,3,2.0,Asheville,1646,5662,1927,708,234,,Sold,,,http://www.redfin.com/NC/Asheville/34-Gray-St-28801/home/102626526,CMLS,3139143,N,Y,35.6021247,-82.5669136
