SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,51 Culvern St,Asheville,NC,28801,399000,4,2.0,Asheville,2441,7230,1964,1,163,,Active,,,http://www.redfin.com/NC/Asheville/51-Culvern-St-28804/home/110893021,CMLS,3376379,N,Y,35.632055,-82.551766
MLS Listing,,Single Family Residential,8 N Dogwood Rd,Asheville,NC,28804,750000,5,3.5,Asheville,3110,95832,1968,1,241,,Active,,,http://www.redfin.com/NC/Asheville/8-N-Dogwood-Rd-28804/home/110893390,CMLS,3379342,N,Y,35.6317726,-82.5448555
MLS Listing,,Single Family Residential,88 Murdock Ave,Asheville,NC,28801,419000,3,2.0,Asheville,691,8712,1928,5,606,,Active,,,http://www.redfin.com/NC/Asheville/88-Murdock-Ave-28801/home/102044895,CMLS,3376860,N,Y,35.6096889,-82.5494607
MLS Listing,,Single Family Residential,10 Norwood Ave,Asheville,NC,28804,819000,4,4.0,Asheville,3410,11761,1916,6,240,,Active,,,http://www.redfin.com/NC/Asheville/10-Norwood-Ave-28804/home/102050064,CMLS,3372642,N,Y,35.6141214,-82.55204
MLS Listing,,Single Family Residential,54 Grove Cove Dr,Asheville,NC,28804,1399000,4,4.0,Asheville,3000,77536,2013,21,466,75,Active,,,http://www.redfin.com/NC/Asheville/54-Grove-Park-28804/home/102030246,CMLS,3371805,N,Y,35.6306044,-82.5380033
MLS Listing,,Single Family Residential,1 Norwood Ave,Asheville,NC,28804,749000,4,2.5,Asheville,2647,5227,1925,22,283,,Active,,,http://www.redfin.com/NC/Asheville/1-Norwood-Ave-28804/home/102037619,CMLS,3369939,N,Y,35.6139816,-82.5526656
MLS Listing,,Single Family Residential,1 Cogswood Rd,Asheville,NC,28804,485000,3,2.0,Asheville,1527,29620,1954,22,318,,Active,,,http://www.redfin.com/NC/Asheville/1-Cogswood-Rd-28804/home/111201993,CMLS,3369740,N,Y,35.6027713,-82.5404494
MLS Listing,,Single Family Residential,17 Blue Briar Rd,Asheville,NC,28804,849000,4,3.0,Asheville,2775,47916,1982,27,306,,Active,,,http://www.redfin.com/NC/Asheville/17-Blue-Briar-Rd-28804/home/111103181,CMLS,3366563,N,Y,35.6121068,-82.5359796
MLS Listing,,Single Family Residential,209 Bent Tree Rd,Asheville,NC,28804,699000,3,2.5,Asheville,3258,30927,1973,27,215,,Active,,,http://www.redfin.com/NC/Asheville/209-Bent-Tree-Rd-28804/home/110850026,CMLS,3370092,N,Y,35.6213122,-82.5357683
MLS Listing,,Vacant Land,68 Sweet Fern Pkwy #50,Asheville,NC,28804,175000,,,Asheville,,48351,,29,,175,Active,,,http://www.redfin.com/NC/Asheville/68-Sweet-Fern-Pkwy-28804/unit-50/home/145123626,CMLS,3369423,N,Y,35.6304783,-82.5510469
MLS Listing,,Condo/Co-op,Marigny Ln Unit 2B,Asheville,NC,28804,579000,3,2.5,Asheville,2130,1263,2017,30,272,175,Active,,,http://www.redfin.com/NC/Asheville/Marigny-Ln-28804/unit-2B/home/145120806,CMLS,3368776,N,Y,35.6304783,-82.5510469
MLS Listing,,Condo/Co-op,Marigny Ln Unit 2A,Asheville,NC,28804,594000,3,2.5,Asheville,2130,1263,2017,30,279,175,Active,,,http://www.redfin.com/NC/Asheville/Marigny-Ln-28804/unit-2A/home/145120804,CMLS,3368785,N,Y,35.6304783,-82.5510469
MLS Listing,,Condo/Co-op,Marigny Ln Unit 2D,Asheville,NC,28804,579000,3,2.5,Asheville,2130,1263,2017,30,272,175,Active,,,http://www.redfin.com/NC/Asheville/Marigny-Ln-28804/unit-2D/home/145120792,CMLS,3368769,N,Y,35.6304783,-82.5510469
MLS Listing,,Condo/Co-op,Marigny Ln Unit 2E,Asheville,NC,28804,583000,3,2.5,Asheville,2130,1263,2017,30,274,175,Active,,,http://www.redfin.com/NC/Asheville/Marigny-Ln-28804/unit-2E/home/145120778,CMLS,3368763,N,Y,35.6304783,-82.5510469
MLS Listing,,Condo/Co-op,Marigny Ln Unit 2F,Asheville,NC,28804,499000,3,2.5,Asheville,1742,1611,2017,30,286,175,Active,,,http://www.redfin.com/NC/Asheville/Marigny-Ln-28804/unit-2F/home/145120775,CMLS,3368754,N,Y,35.6304783,-82.5510469
MLS Listing,,Condo/Co-op,Marigny Ln Unit 2H,Asheville,NC,28804,473000,3,2.5,Asheville,1742,1611,2017,30,272,175,Active,,,http://www.redfin.com/NC/Asheville/Marigny-Ln-28804/unit-2H/home/145120750,CMLS,3368743,N,Y,35.6304783,-82.5510469
MLS Listing,,Vacant Land,53 Sweet Fern Pkwy #45,Asheville,NC,28804,185000,,,Asheville,,45084,,30,,175,Active,,,http://www.redfin.com/NC/Asheville/53-Sweet-Fern-Pkwy-28804/unit-45/home/145120730,CMLS,3369015,N,Y,35.6304783,-82.5510469
MLS Listing,,Condo/Co-op,Marigny Ln Unit 2J,Asheville,NC,28804,519000,3,2.5,Asheville,2030,1263,2017,30,256,175,Active,,,http://www.redfin.com/NC/Asheville/Marigny-Ln-28804/unit-2J/home/145120729,CMLS,3368729,N,Y,35.6304783,-82.5510469
MLS Listing,,Condo/Co-op,Marigny Ln Unit 2K,Asheville,NC,28804,488000,3,2.5,Asheville,1742,1611,2017,30,280,175,Active,,,http://www.redfin.com/NC/Asheville/Marigny-Ln-28804/unit-2K/home/145120690,CMLS,3368720,N,Y,35.6304783,-82.5510469
MLS Listing,,Vacant Land,33 Bent Branch Ln #12,Asheville,NC,28804,99500,,,Asheville,,45738,,33,,125,Active,,,http://www.redfin.com/NC/Asheville/33-Bent-Tree-Rd-28804/unit-12/home/113002957,CMLS,3368296,N,Y,35.6174338,-82.5363093
MLS Listing,,Vacant Land,99999 Sunset Dr,Asheville,NC,28804,249000,,,Asheville,,20473,,36,,,Active,,,http://www.redfin.com/NC/Asheville/99999-Sunset-Dr-Unknown/home/145078563,CMLS,3365231,N,Y,35.6163781,-82.5385231
MLS Listing,,Condo/Co-op,185 Macon Ave Unit A5,Asheville,NC,28804,572000,3,2.0,Asheville,1458,1306,1926,38,392,526,Active,,,http://www.redfin.com/NC/Asheville/185-Macon-Ave-28804/unit-A5/home/143526946,CMLS,3366173,N,Y,35.6172769,-82.5401593
MLS Listing,,Condo/Co-op,288 Macon Ave #205,Asheville,NC,28804,1595000,3,3.0,Asheville,2282,,2008,40,699,617,Active,,,http://www.redfin.com/NC/Asheville/288-Macon-Ave-28804/unit-205/home/104317502,CMLS,3364905,N,Y,35.6185746,-82.5415466
MLS Listing,,Vacant Land,Cherokee Rd Unit 1 & 2,Asheville,NC,28801,239000,,,Asheville,,9583,,40,,,Active,,,http://www.redfin.com/NC/Asheville/Cherokee-Rd-Unknown/unit-1-2/home/145011285,CMLS,3364500,N,Y,35.6075386,-82.543066
