SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,May-29-2015,Condo/Co-op,712 Appledoorn Cir,Asheville,NC,28803,131000,3,2.0,Asheville,1262,,2006,1049,104,153,Sold,,,http://www.redfin.com/NC/Asheville/712-Appeldoorn-Cir-28803/home/102046723,CMLS,NCM570939,N,Y,35.552966,-82.526836
PAST SALE,July-7-2015,Single Family Residential,60 Marietta St,Asheville,NC,28803,189000,3,2.5,Asheville,1344,6534,2015,1010,141,,Sold,,,http://www.redfin.com/NC/Asheville/60-Marietta-St-28803/home/102047425,CMLS,NCM584083,N,Y,35.5568035,-82.5334645
PAST SALE,July-10-2015,Single Family Residential,713 Marietta St,Asheville,NC,28803,150000,3,1.5,Asheville,1115,11761,,1007,135,,Sold,,,http://www.redfin.com/NC/Asheville/713-Marietta-St-28803/home/102035476,CMLS,NCM581857,N,Y,35.5517485,-82.5329257
PAST SALE,April-17-2015,Single Family Residential,4 Belvedere Rd,Asheville,NC,28803,152500,3,1.0,Asheville,950,7840,1957,1091,161,,Sold,,,http://www.redfin.com/NC/Asheville/4-Belvedere-Rd-28803/home/102036998,CMLS,NCM576734,N,Y,35.5591417,-82.5323453
PAST SALE,March-1-2012,Single Family Residential,3 Busbee Rd,Asheville,NC,28803,322500,3,2.5,Asheville,3048,58370,1925,2233,106,,Sold,,,http://www.redfin.com/NC/Biltmore-Forest/3-Busbee-Rd-28803/home/111247283,CMLS,NCM480517,N,Y,35.5430931,-82.5340775
PAST SALE,May-11-2017,Single Family Residential,35 Douglas Pl Lot 3,Asheville,NC,28803,210000,3,1.0,Asheville,805,5662,1925,336,261,,Sold,,,http://www.redfin.com/NC/Asheville/35-Douglas-Pl-28803/unit-3/home/145031051,CMLS,3256546,N,Y,35.5631923,-82.5387863
PAST SALE,,Single Family Residential,15 Center St,Asheville,NC,28803,90000,3,1.0,,1147,11761,1952,,78,,,,,http://www.redfin.com/NC/Asheville/15-Center-St-28803/home/111189901,,,N,Y,35.5521415,-82.5368662
PAST SALE,April-28-2017,Single Family Residential,622 Brookshire St,Asheville,NC,28803,300000,3,1.0,Asheville,1333,21344,1927,349,225,,Sold,,,http://www.redfin.com/NC/Asheville/622-Brookshire-St-28803/home/111286751,CMLS,3263195,N,Y,35.5533093,-82.5362546
PAST SALE,May-5-2017,Single Family Residential,33 Fern St,Asheville,NC,28803,290000,3,3.5,Asheville,1752,6534,2009,342,166,,Sold,,,http://www.redfin.com/NC/Asheville/33-Fern-St-28803/home/110862665,CMLS,3256468,N,Y,35.553144,-82.53502
PAST SALE,August-18-2017,Condo/Co-op,625 Appeldoorn Cir #625,Asheville,NC,28803,134250,2,2.0,Asheville,1005,,2006,237,134,146,Sold,,,http://www.redfin.com/NC/Asheville/625-Appeldoorn-Cir-28803/unit-625/home/140209113,CMLS,3297913,N,Y,35.553399,-82.526878
