SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,June-24-2016,Condo/Co-op,40 Cedarcliff Cir Unit GIII-25,Asheville,NC,28803,235000,2,2.0,Asheville,1543,5662,1989,657,152,309,Sold,,,http://www.redfin.com/NC/Asheville/40-Cedarcliff-Cir-28803/unit-GIII-25/home/145047415,CMLS,3182756,N,Y,35.5520995,-82.4820232
PAST SALE,September-6-2016,Vacant Land,999 Merrills Cove Rd,Asheville,NC,28803,142000,,,Asheville,,271814,,583,,,Sold,,,http://www.redfin.com/NC/Asheville/999-Merrills-Cove-Rd-28803/home/145049879,CMLS,3152283,N,Y,35.5269261,-82.4843275
PAST SALE,July-28-2016,Single Family Residential,17 Bee Ridge Rd,Asheville,NC,28803,290000,2,2.0,Asheville,2575,31363,1957,623,113,,Sold,,,http://www.redfin.com/NC/Asheville/17-Bee-Ridge-Rd-28803/home/102026772,CMLS,3160083,N,Y,35.5517514,-82.4887066
PAST SALE,September-19-2016,Condo/Co-op,33 Cedarcliff,Asheville,NC,28803,290000,4,3.0,Laurel Creek,2619,8276,1987,570,111,309,Sold,,,http://www.redfin.com/NC/Asheville/33-Cedarcliff-Cir-28803/home/102027643,NCMMLS,NCM593000,N,Y,35.5528436,-82.4816848
PAST SALE,July-22-2015,Single Family Residential,91 Oak Ter,Arden,NC,28704,160000,3,2.0,Arden,1660,10018,1964,995,96,,Sold,,,http://www.redfin.com/NC/Arden/91-Oak-Ter-28704/home/102033266,CMLS,NCM564367,N,Y,35.4775547,-82.504778
PAST SALE,August-13-2015,Single Family Residential,1449 Cane Creek Rd,Fletcher,NC,28732,190000,2,2.0,Fletcher,1139,135036,1956,973,167,,Sold,,,http://www.redfin.com/NC/Fletcher/1449-Cane-Creek-Rd-28732/home/102037553,CMLS,NCM557970,N,Y,35.4808115,-82.4431366
PAST SALE,June-23-2015,Vacant Land,58 Castanea Mountain Dr,Asheville,NC,28803,130000,0,,Chestnut Mountain,,,,1024,,,Sold,,,http://www.redfin.com/NC/Asheville/58-Castanea-Mountain-Dr-28803/home/102058802,NCMMLS,NCM576357,N,Y,35.5415776,-82.4597163
PAST SALE,June-23-2016,Vacant Land,TBD Webb Creek Rd,Fairview,NC,28730,65500,0,,Fairview,,65340,,658,,,Sold,,,http://www.redfin.com/NC/Fairview/TBD-Webb-Creek-Rd-28730/home/102051698,NCMMLS,NCM581079,N,Y,35.524279,-82.450485
PAST SALE,September-22-2016,Vacant Land,Tract C Sedgewood,Fairview,NC,28730,84000,0,,Fairview,,97574,,567,,4,Sold,,,http://www.redfin.com/NC/Fairview/Tract-C-Sedgewood-Ct-28730/home/108464529,NCMMLS,3201402,N,Y,35.521253,-82.441198
PAST SALE,July-1-2016,Single Family Residential,125 Winding,Fairview,NC,28730,535000,4,3.0,Winding Ridge,4236,155944,1998,650,126,,Sold,,,http://www.redfin.com/NC/Fairview/125-Winding-Way-28730/home/102027955,NCMMLS,NCM578893,N,Y,35.5236444,-82.43027
PAST SALE,October-23-2015,Vacant Land,Lot 18 Bridgewater,Fletcher,NC,28732,110000,0,,Bridgewater,,,,902,,690,Sold,,,http://www.redfin.com/NC/Fletcher/18-Bridgewater-Dr-28732/home/102058428,NCMMLS,NCM594900,N,Y,35.503087,-82.4295689
PAST SALE,September-12-2014,Single Family Residential,61 Indian Trl,Asheville,NC,28803,540000,4,4.0,Indian Falls Estates,3319,,2004,1308,163,180,Sold,,,http://www.redfin.com/NC/Asheville/61-Indian-Trl-28803/home/102046386,NCMMLS,NCM556490,N,Y,35.528676,-82.4786813
PAST SALE,April-21-2016,Vacant Land,375 A),Fairview,NC,28730,40000,0,,Fairview,,,,721,,,Sold,,,http://www.redfin.com/NC/Fairview/375-Fairview-Hills-Dr-28730/home/102326876,NCMMLS,NCM576715,N,Y,35.5322308,-82.4366668
PAST SALE,November-29-2016,Single Family Residential,155 Cedar Mtn,Asheville,NC,28803,312000,4,4.0,Asheville,2271,34848,2002,499,137,,Sold,,,http://www.redfin.com/NC/Asheville/155-Cedar-Mountain-Rd-28803/home/109274880,NCMMLS,3222125,N,Y,35.541751,-82.468622
PAST SALE,November-2-2015,Single Family Residential,103 Windsong Drive Ext,Fairview,NC,28730,570000,4,3.5,Fairview,3227,158994,1995,892,177,400,Sold,,,http://www.redfin.com/NC/FAIRVIEW/103-WINDSONG-DR-EXT-28730/home/111211496,CMLS,NCM585913,N,Y,35.534171,-82.437698
PAST SALE,August-5-2015,Single Family Residential,9 Meadow Brook Dr,Fletcher,NC,28732,363995,4,3.0,Fletcher,2872,29185,1996,981,127,100,Sold,,,http://www.redfin.com/NC/Fletcher/9-Meadowbrook-Dr-28732/home/102048663,CMLS,NCM454058,N,Y,35.512681,-82.4378457
PAST SALE,March-18-2014,Single Family Residential,27 Graylyn Dr,Fairview,NC,28730,417500,3,4.0,Graylyn Estates,3853,,2004,1486,108,25,Sold,,,http://www.redfin.com/NC/Fairview/27-Graylyn-Dr-28730/home/102035599,NCMMLS,NCM553103,N,Y,35.533409,-82.4374647
PAST SALE,October-14-2015,Single Family Residential,53 Fox Rdg,Fletcher,NC,28732,387500,3,3.0,Fox Ridge,3112,,1995,911,125,75,Sold,,,http://www.redfin.com/NC/Fletcher/53-Fox-Ridge-Dr-28732/home/102050521,NCMMLS,NCM583181,N,Y,35.512596,-82.44725
PAST SALE,April-28-2016,Single Family Residential,6 Muirfield Cir Lot 8,Arden,NC,28704,325000,3,3.0,Arden,2702,25700,1997,714,120,,Sold,,,http://www.redfin.com/NC/Arden/6-Muirfield-Cir-28704/unit-8/home/145019908,CMLS,3154499,N,Y,35.4809954,-82.5019446
PAST SALE,January-5-2015,Single Family Residential,27 Hickory Hls,Arden,NC,28704,260000,3,3.0,Hickory Hills,2298,,1986,1193,113,,Sold,,,http://www.redfin.com/NC/Arden/27-Hickory-Hills-Dr-28704/home/102043085,NCMMLS,NCM572024,N,Y,35.476027,-82.501973
PAST SALE,January-18-2013,Single Family Residential,293 MERRILLS COVE Rd,Asheville,NC,28803,225000,3,2.0,Asheville,2160,298821,2002,1910,104,,Sold,,,http://www.redfin.com/NC/Asheville/293-Merrills-Cove-Rd-28803/home/102046656,CMLS,NCM523546,N,Y,35.4968303,-82.4707328
PAST SALE,October-2-2013,Single Family Residential,26 Spring Cv,Arden,NC,28704,329900,4,4.0,Spring Cove,2711,,1989,1653,122,100,Sold,,,http://www.redfin.com/NC/Arden/26-Spring-Cove-Ct-28704/home/102051045,NCMMLS,NCM539107,N,Y,35.475195,-82.500887
PAST SALE,September-18-2015,Single Family Residential,5 Walnut Ln,Fletcher,NC,28732,560000,4,3.5,Fletcher,3797,115434,1994,937,147,400,Sold,,,http://www.redfin.com/NC/Fletcher/5-Walnut-Ln-28732/home/102049680,CMLS,NCM582761,N,Y,35.476641,-82.473594
PAST SALE,February-17-2017,Single Family Residential,82 Cherokee Trl,Fletcher,NC,28732,344900,3,2.0,Fletcher,2049,43995,1995,419,168,35,Sold,,,http://www.redfin.com/NC/Fletcher/82-Cherokee-Trl-28732/home/109490556,CMLS,3228268,N,Y,35.482951,-82.470203
PAST SALE,July-11-2013,Single Family Residential,14 Emmas Way,Fletcher,NC,28732,292500,3,2.0,Fletcher,2345,25700,2010,1736,125,,Sold,,,http://www.redfin.com/NC/Fletcher/14-Emmas-Way-28732/home/102041112,CMLS,NCM533005,N,Y,35.493746,-82.45187
PAST SALE,July-31-2015,Single Family Residential,1239 CANE CREEK Rd,Fletcher,NC,28732,2901000,4,3.5,Fletcher,3635,1806868,2002,986,798,,Sold,,,http://www.redfin.com/NC/Fletcher/1239-Cane-Creek-Rd-28732/home/102031939,CMLS,NCM566063,N,Y,35.4739282,-82.4587278
PAST SALE,November-25-2014,Vacant Land,LOT 2 Sheep Pasture Ln,Fletcher,NC,28732,170000,0,,Ashebrook Estates,,,,1234,,495,Sold,,,http://www.redfin.com/NC/Fletcher/2-Sheep-Pasture-Ln-28732/home/102061510,NCMMLS,NCM569606,N,Y,35.4768698,-82.4704587
PAST SALE,December-11-2015,Single Family Residential,125 Walnut St,Arden,NC,28704,149950,2,1.0,Arden,832,10454,1955,853,180,,Sold,,,http://www.redfin.com/NC/Arden/125-Walnut-St-28704/home/102031081,CMLS,NCM593374,N,Y,35.4750663,-82.5071884
PAST SALE,March-12-2014,Single Family Residential,123 High Top,Asheville,NC,28803,312000,3,2.0,Kenwood,1850,,1992,1492,169,,Sold,,,http://www.redfin.com/NC/Asheville/123-High-Top-Ln-28803/home/102033636,NCMMLS,NCM549478,N,Y,35.4865641,-82.5110998
PAST SALE,November-26-2014,Single Family Residential,9 Weston Heights Dr,Asheville,NC,28803,326500,3,3.0,Weston Heights,2802,,1992,1233,117,,Sold,,,http://www.redfin.com/NC/Asheville/9-Weston-Heights-Dr-28803/home/102035663,NCMMLS,NCM564893,N,Y,35.4880798,-82.488622
PAST SALE,August-31-2015,Single Family Residential,1 Forest Ridge Dr,Arden,NC,28704,217000,3,2.5,Arden,2086,15245,1974,955,104,,Sold,,,http://www.redfin.com/NC/Arden/1-Forest-Ridge-Dr-28704/home/102038010,CMLS,NCM587890,N,Y,35.4815881,-82.4984768
