SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,November-6-2017,Single Family Residential,168 & 168 1/2 Chatham Unit PT27,Asheville,NC,28804,460000,5,3.0,Edgewood,2600,24829,1928,156,177,,Sold,,,http://www.redfin.com/NC/Asheville/168-Haywood-Rd-28806/unit-PT27/home/113868789,NCMMLS,3273775,N,Y,35.5807515,-82.5731417
PAST SALE,August-14-2017,Single Family Residential,24 Upstream Way,Asheville,NC,28806,428000,3,2.5,Asheville,1632,5227,2017,240,262,,Sold,,,http://www.redfin.com/NC/Asheville/180-Amboy-Rd-28806/home/111341544,CMLS,3270257,N,Y,35.5679993,-82.5670386
PAST SALE,November-3-2017,Single Family Residential,136 Waynesville Ave,Asheville,NC,28806,436000,3,3.5,Asheville,1876,6098,2014,159,232,,Sold,,,http://www.redfin.com/NC/Asheville/136-Waynesville-Ave-28806/home/109421692,CMLS,3297247,N,Y,35.5825612,-82.5750056
PAST SALE,,Single Family Residential,194 Joyner Ave,Asheville,NC,28806,294000,2,2.0,,1008,4792,2014,,292,,,,,http://www.redfin.com/NC/Asheville/194-Joyner-Ave-28806/home/102033207,,,N,Y,35.5674501,-82.5737357
PAST SALE,October-30-2017,Single Family Residential,134 Waynesville Ave,Asheville,NC,28806,462000,3,2.5,Asheville,2016,5227,2014,163,229,,Sold,,,http://www.redfin.com/NC/Asheville/134-Waynesville-Ave-28806/home/111027356,CMLS,3322765,N,Y,35.5826703,-82.5749805
PAST SALE,October-24-2017,Single Family Residential,57 Indiana Ave,Asheville,NC,28806,235000,2,1.0,Asheville,941,5662,1924,169,250,,Sold,,,http://www.redfin.com/NC/Asheville/57-Indiana-Ave-28806/home/102030447,CMLS,3314351,N,Y,35.5729182,-82.5792257
PAST SALE,July-7-2017,Single Family Residential,6 Eva Cir,Asheville,NC,28806,265200,3,1.0,Asheville,1270,13068,1969,278,209,,Sold,,,http://www.redfin.com/NC/Asheville/6-Eva-Cir-28806/home/102039449,CMLS,3288830,N,Y,35.5717867,-82.5819661
PAST SALE,,Single Family Residential,34 Montana Ave,Asheville,NC,28806,190000,1,1.0,,700,20038,1913,,271,,,,,http://www.redfin.com/NC/Asheville/34-Montana-Ave-28806/home/102054407,,,N,Y,35.5748912,-82.5780667
PAST SALE,November-3-2017,Single Family Residential,87 Tremont St,Asheville,NC,28806,208000,2,1.0,Asheville,791,6534,1924,159,263,,Sold,,,http://www.redfin.com/NC/Asheville/87-Tremont-St-28806/home/110903075,CMLS,3296232,N,Y,35.5833676,-82.5762924
PAST SALE,May-12-2017,Single Family Residential,5 Buttonwood Ct,Asheville,NC,28806,209000,2,1.0,Asheville,950,7405,1999,334,220,,Sold,,,http://www.redfin.com/NC/Asheville/5-Buttonwood-Ct-28806/home/111103073,CMLS,3250759,N,Y,35.5700297,-82.5840227
PAST SALE,November-6-2017,Single Family Residential,23 New Jersey Ave,Asheville,NC,28806,145000,3,1.0,Asheville,816,6098,1956,156,178,,Sold,,,http://www.redfin.com/NC/Asheville/23-New-Jersey-Ave-28806/home/111244730,CMLS,3310795,N,Y,35.5719725,-82.5842078
PAST SALE,October-12-2017,Single Family Residential,49 Euclid Blvd,Asheville,NC,28806,295000,2,1.0,Asheville,1053,8712,1927,181,280,,Sold,,,http://www.redfin.com/NC/Asheville/49-Euclid-Blvd-28806/home/111270621,CMLS,3321406,N,Y,35.5815348,-82.5707126
PAST SALE,,Single Family Residential,139 Hanover St,Asheville,NC,28806,300000,3,2.0,,1424,8276,1905,,211,,,,,http://www.redfin.com/NC/Asheville/139-Hanover-St-28806/home/111337389,,,N,Y,35.5728049,-82.58284
PAST SALE,,Vacant Land,Riverview Dr,Asheville,NC,28806,60000,,,,,7841,,,,,,,,http://www.redfin.com/NC/Asheville/Riverview-Dr-28806/home/111399293,,,N,Y,35.571335,-82.568115
PAST SALE,,Single Family Residential,19 Tremont St,Asheville,NC,28806,150000,1,1.0,,762,7841,1950,,197,,,,,http://www.redfin.com/NC/Asheville/19-Tremont-St-28806/home/111279186,,,N,Y,35.580716,-82.5767149
PAST SALE,October-17-2017,Single Family Residential,194 Michigan Ave,Asheville,NC,28806,225000,3,2.0,Asheville,1025,6969,2002,176,220,,Sold,,,http://www.redfin.com/NC/Asheville/194-Michigan-Ave-28806/home/110858437,CMLS,3275676,N,Y,35.5713383,-82.5775376
PAST SALE,,Vacant Land,Waynesville Ave,Asheville,NC,28806,60000,,,,,5663,,,,,,,,http://www.redfin.com/NC/Asheville/Waynesville-Ave-28806/home/111394884,,,N,Y,35.582341,-82.575473
PAST SALE,May-16-2017,Single Family Residential,16 Upstream Way,Asheville,NC,28806,375000,3,2.5,Asheville,1408,5227,2017,330,266,,Sold,,,http://www.redfin.com/NC/Asheville/180-Amboy-Rd-28806/home/111339052,CMLS,3203033,N,Y,35.5679993,-82.5670386
PAST SALE,April-7-2017,Single Family Residential,180 Joyner Ave,Asheville,NC,28806,251000,3,2.0,Asheville,1191,8232,1920,369,211,,Sold,,,http://www.redfin.com/NC/Asheville/180-Joyner-Ave-28806/home/111254893,CMLS,3254455,N,Y,35.5677218,-82.5727858
PAST SALE,October-6-2017,Single Family Residential,100 Bradley St #4,Asheville,NC,28806,220000,2,1.0,Asheville,986,18730,1923,187,223,,Sold,,,http://www.redfin.com/NC/Asheville/100-Bradley-St-28806/unit-4/home/130856814,CMLS,3294831,N,Y,35.5708576,-82.5736781
PAST SALE,,Vacant Land,21 Moore Ave,Asheville,NC,28806,53000,,,,,6534,,,,,,,,http://www.redfin.com/NC/Asheville/21-Moore-Ave-28806/home/111279246,,,N,Y,35.5684984,-82.5730021
PAST SALE,June-1-2017,Single Family Residential,58 Moore Ave,Asheville,NC,28806,294000,2,1.5,Asheville,1250,7405,2013,314,235,,Sold,,,http://www.redfin.com/NC/Asheville/58-Moore-Ave-28806/home/102041748,CMLS,3275298,N,Y,35.5703065,-82.5731512
PAST SALE,May-18-2017,Single Family Residential,68 Garden Cir,Asheville,NC,28806,379000,3,1.5,Asheville,1818,11194,1931,328,208,,Sold,,,http://www.redfin.com/NC/Asheville/68-Garden-Cir-28806/home/102035288,CMLS,3257262,N,Y,35.5745441,-82.5731692
PAST SALE,May-12-2017,Single Family Residential,88 Stewart St,Asheville,NC,28806,219000,2,1.0,Asheville,1030,7405,1947,334,213,,Sold,,,http://www.redfin.com/NC/Asheville/88-Stewart-St-28806/home/109073573,CMLS,3246713,N,Y,35.5708717,-82.5835016
PAST SALE,April-20-2017,Single Family Residential,116 Riverview Dr #63,Asheville,NC,28806,491096,3,3.5,Asheville,1752,6969,2017,356,280,,Sold,,,http://www.redfin.com/NC/Asheville/116-Riverview-Dr-28806/unit-63/home/113064798,CMLS,3249797,N,Y,35.5808085,-82.5699432
PAST SALE,September-7-2017,Single Family Residential,175 Wellington St #1,Asheville,NC,28806,333000,3,2.5,Asheville,1361,5227,2017,216,245,,Sold,,,http://www.redfin.com/NC/Asheville/175-Wellington-St-28806/unit-1/home/143061212,CMLS,3306293,N,Y,35.5716833,-82.5758742
PAST SALE,,Single Family Residential,60 Westwood Pl,Asheville,NC,28806,275000,3,1.0,,1773,13504,1921,,155,,,,,http://www.redfin.com/NC/Asheville/60-Westwood-Pl-28806/home/111206319,,,N,Y,35.5804657,-82.5794405
PAST SALE,October-20-2017,Single Family Residential,88 5th Ave,Asheville,NC,28806,375000,3,2.0,Asheville,1650,16988,2015,173,227,,Sold,,,http://www.redfin.com/NC/Asheville/88-5th-Ave-28806/home/111036859,CMLS,3317828,N,Y,35.5718301,-82.5808552
PAST SALE,August-9-2017,Vacant Land,99999 Piercy St #1,Asheville,NC,28806,83000,,,Asheville,,4791,,245,,,Sold,,,http://www.redfin.com/NC/Asheville/99999-Piercy-St-28806/unit-1/home/142813897,CMLS,3301486,N,Y,35.570067,-82.57461
PAST SALE,July-10-2017,Single Family Residential,171 Swannanoa Ave,Asheville,NC,28806,355000,4,3.0,Asheville,2530,8276,2004,275,140,,Sold,,,http://www.redfin.com/NC/Asheville/171-Swannanoa-Ave-28806/home/102045717,CMLS,3273419,N,Y,35.5717668,-82.5770873
PAST SALE,June-1-2015,Single Family Residential,153 Hanover,Asheville,NC,28806,179000,2,1.0,Asheville,1017,11325,1934,1045,176,,Sold,,,http://www.redfin.com/NC/Asheville/153-Hanover-St-28806/home/102035056,CMLS,NCM583321,N,Y,35.5723634,-82.5827449
PAST SALE,October-9-2015,Single Family Residential,10 Eva Cir,Asheville,NC,28806,169900,3,1.0,Asheville,960,10018,1969,915,177,,Sold,,,http://www.redfin.com/NC/Asheville/10-Eva-Cir-28806/home/102038719,CMLS,NCM589838,N,Y,35.5719721,-82.5817417
PAST SALE,December-29-2016,Single Family Residential,129 Alabama Ave,Asheville,NC,28806,348000,3,2.0,Asheville,1917,8712,1911,468,182,,Sold,,,http://www.redfin.com/NC/Asheville/129-Alabama-Ave-28806/home/102045480,CMLS,3223422,N,Y,35.5742938,-82.5818868
PAST SALE,May-17-2016,Single Family Residential,5 Eva Cir,Asheville,NC,28806,195000,3,1.0,Asheville,980,11325,1969,694,199,,Sold,,,http://www.redfin.com/NC/Asheville/5-Eva-Cir-28806/home/104279775,CMLS,3158186,N,Y,35.5714853,-82.581463
PAST SALE,July-27-2016,Single Family Residential,75 Tremont St,Asheville,NC,28806,179000,2,1.0,Asheville,1056,4356,1915,623,170,,Sold,,,http://www.redfin.com/NC/Asheville/75-Tremont-St-28806/home/106138134,CMLS,3184920,N,Y,35.5830033,-82.5765881
PAST SALE,October-1-2015,Single Family Residential,116 Logan Ave,Asheville,NC,28806,340500,3,2.0,Asheville,1568,7840,2012,923,217,,Sold,,,http://www.redfin.com/NC/Asheville/116-Logan-Ave-28806/home/102044378,CMLS,NCM592779,N,Y,35.5832685,-82.5717363
PAST SALE,October-13-2015,Single Family Residential,65 Brownwood,Asheville,NC,28806,350000,3,2.0,Asheville,2642,8276,1924,911,132,,Sold,,,http://www.redfin.com/NC/Asheville/65-Brownwood-Ave-28806/home/111341849,CMLS,NCM592727,N,Y,35.5790833,-82.5736732
PAST SALE,June-30-2016,Single Family Residential,451 Riverview Dr,Asheville,NC,28806,260000,3,2.5,Asheville,1706,4791,2006,650,152,,Sold,,,http://www.redfin.com/NC/Asheville/451-Riverview-Dr-28806/home/103846742,CMLS,3148218,N,Y,35.5708693,-82.5681293
PAST SALE,August-25-2016,Single Family Residential,14 Upstream Way,Asheville,NC,28806,419900,3,2.5,Asheville,1632,5052,2015,594,257,,Sold,,,http://www.redfin.com/NC/Asheville/14-Upstream-Way-28806/home/145046453,CMLS,3129441,N,Y,35.5681398,-82.5673105
PAST SALE,April-5-2016,Single Family Residential,Beverly Rd W,Asheville,NC,28806,550000,4,4.5,Asheville,3610,15681,1955,736,152,,Sold,,,http://www.redfin.com/NC/Asheville/Beverly-Rd-W-28806/home/145024286,CMLS,3151380,N,Y,35.5772093,-82.5728361
PAST SALE,May-25-2016,Single Family Residential,424 State St,Asheville,NC,28806,270000,3,3.0,Asheville,1764,6098,2008,686,153,,Sold,,,http://www.redfin.com/NC/Asheville/424-State-St-28806/home/102031075,CMLS,3156170,N,Y,35.5689475,-82.574589
PAST SALE,May-4-2015,Single Family Residential,41 Michigan Ave,Asheville,NC,28806,243000,3,2.0,Asheville,1760,6969,1927,1073,138,,Sold,,,http://www.redfin.com/NC/Asheville/41-Michigan-Ave-28806/home/102040966,CMLS,NCM579856,N,Y,35.5758641,-82.5793788
PAST SALE,February-26-2016,Single Family Residential,360 Riverview Dr,Asheville,NC,28806,294000,3,3.0,Asheville,1200,4791,2009,775,245,,Sold,,,http://www.redfin.com/NC/Asheville/360-Riverview-Dr-28806/home/102042109,CMLS,3140640,N,Y,35.5725433,-82.5710117
PAST SALE,June-3-2015,Single Family Residential,459 RIVERVIEW Dr,Asheville,NC,28806,211000,3,1.0,Asheville,910,7840,1964,1043,232,,Sold,,,http://www.redfin.com/NC/Asheville/459-Riverview-Dr-28806/home/102042305,CMLS,NCM586452,N,Y,35.5708006,-82.5676502
PAST SALE,June-30-2015,Single Family Residential,86 Montana Ave,Asheville,NC,28806,215000,2,1.0,Asheville,1056,8276,1926,1016,204,,Sold,,,http://www.redfin.com/NC/Asheville/86-Montana-Ave-28806/home/102046818,CMLS,NCM584268,N,Y,35.5750587,-82.5800943
PAST SALE,October-19-2016,Single Family Residential,42 Lamb Ave,Asheville,NC,28806,277000,3,2.0,Asheville,1107,6098,2001,539,250,,Sold,,,http://www.redfin.com/NC/Asheville/42-Lamb-Ave-28806/home/102047085,CMLS,3201982,N,Y,35.5677583,-82.5733775
PAST SALE,June-30-2015,Single Family Residential,280 Riverview Dr,Asheville,NC,28806,379000,3,2.5,Asheville,1632,8712,2007,1016,232,,Sold,,,http://www.redfin.com/NC/Asheville/280-Riverview-Dr-28806/home/102047418,CMLS,NCM584054,N,Y,35.5753044,-82.5702935
PAST SALE,June-30-2015,Single Family Residential,63 Howard St,Asheville,NC,28806,228000,2,2.0,Asheville,968,5662,1928,1016,236,,Sold,,,http://www.redfin.com/NC/Asheville/63-Howard-St-28806/home/102051387,CMLS,NCM582914,N,Y,35.5789507,-82.5756588
PAST SALE,May-6-2015,Vacant Land,8 Pineview St,Asheville,NC,28806,153000,,,Asheville,,34848,,1071,,,Sold,,,http://www.redfin.com/NC/Asheville/8-Pineview-St-28806/home/102061334,CMLS,NCM578302,N,Y,35.5711306,-82.5791227
PAST SALE,November-18-2015,Single Family Residential,152 Bradley St,Asheville,NC,28806,328500,3,3.0,West Asheville,1460,,2015,875,225,,Sold,,,http://www.redfin.com/NC/Asheville/152-Bradley-St-28806/home/102069782,NCMMLS,NCM587663,N,Y,35.569002,-82.573705
