SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,November-17-2016,Single Family Residential,242 Sand Hill Rd,Asheville,NC,28806,475000,4,3.5,Asheville,2304,6969,2014,510,206,,Sold,,,http://www.redfin.com/NC/Asheville/242-Sand-Hill-Rd-28806/home/102047187,CMLS,3140725,N,Y,35.5737188,-82.6005418
PAST SALE,October-12-2015,Single Family Residential,120 Delaware Ave,Asheville,NC,28806,241400,3,1.5,Asheville,2023,13068,1956,912,119,,Sold,,,http://www.redfin.com/NC/Asheville/120-Delaware-Ave-28806/home/102047992,CMLS,NCM580589,N,Y,35.5741143,-82.6034501
PAST SALE,April-19-2016,Single Family Residential,220 Fayetteville St,Asheville,NC,28806,72000,2,1.0,Asheville,848,4791,1926,722,85,,Sold,,,http://www.redfin.com/NC/Asheville/220-Fayetteville-St-28806/home/102178809,CMLS,3132984,N,Y,35.5864479,-82.5835158
PAST SALE,April-27-2016,Single Family Residential,20 Lanvale Ave #3,Asheville,NC,28806,253000,3,2.0,Asheville,1628,7405,1958,714,155,,Sold,,,http://www.redfin.com/NC/Asheville/20-Lanvale-Ave-28806/unit-3/home/145037514,CMLS,3154807,N,Y,35.5796655,-82.5976224
PAST SALE,October-9-2015,Single Family Residential,22 Zephyr Dr,Asheville,NC,28806,260000,3,1.5,Asheville,1743,14810,1962,915,149,,Sold,,,http://www.redfin.com/NC/Asheville/22-Zephyr-Dr-28806/home/102033085,CMLS,NCM587170,N,Y,35.5692332,-82.6007897
PAST SALE,August-26-2015,Single Family Residential,143 DAVENPORT Rd,Asheville,NC,28806,230000,3,1.5,Asheville,1015,13503,1959,959,227,,Sold,,,http://www.redfin.com/NC/Asheville/143-Davenport-Rd-28806/home/102033723,CMLS,NCM585014,N,Y,35.5725779,-82.599185
PAST SALE,May-1-2015,Single Family Residential,75 Covington,Asheville,NC,28806,236000,2,1.0,Asheville,1010,13939,1951,1076,234,,Sold,,,http://www.redfin.com/NC/Asheville/75-Covington-St-28806/home/102037641,CMLS,NCM579182,N,Y,35.5789097,-82.603999
PAST SALE,July-24-2015,Single Family Residential,36 HARVARD,Asheville,NC,28806,239000,3,2.0,Asheville,1306,7405,1928,992,183,,Sold,,,http://www.redfin.com/NC/Asheville/36-Harvard-Pl-28806/home/102047387,CMLS,NCM582009,N,Y,35.5783375,-82.6064482
PAST SALE,July-31-2015,Vacant Land,.21 ACRE Ormond Ave #35,Asheville,NC,28806,58510,0,,Asheville,,,,985,,,Sold,,,http://www.redfin.com/NC/Asheville/35-Ormond-Ave-28806/home/102059803,NCMMLS,NCM587539,N,Y,35.5816208,-82.6066171
PAST SALE,April-27-2016,Single Family Residential,20 Lanvale #3,Asheville,NC,28806,253000,3,2.0,Asheville,1628,,1958,714,155,,Sold,,,http://www.redfin.com/NC/Asheville/20-Lanvale-Ave-28806/home/104111988,NCMMLS,3154807,N,Y,35.5796655,-82.5976224
PAST SALE,June-21-2016,Single Family Residential,25 Inglewood Ave,Asheville,NC,28806,268000,2,1.0,Asheville,1020,8712,1951,659,263,,Sold,,,http://www.redfin.com/NC/Asheville/25-Inglewood-Ave-28806/home/105433249,CMLS,3171737,N,Y,35.576534,-82.60269
PAST SALE,August-12-2016,Single Family Residential,44 Ormond,Asheville,NC,28806,459000,4,3.0,West Asheville,2317,9147,2016,607,198,,Sold,,,http://www.redfin.com/NC/Asheville/44-Ormond-Ave-28806/home/108266923,NCMMLS,3184048,N,Y,35.5811858,-82.6060827
PAST SALE,March-10-2017,Vacant Land,20 Stansbury #519,Asheville,NC,28803,310000,0,,Ramble Biltmore Forest,,25264,,397,,377,Sold,,,http://www.redfin.com/NC/Asheville/1316-Patton-Ave-28806/unit-519/home/112966714,NCMMLS,3244938,N,Y,35.582051,-82.6023317
PAST SALE,June-1-2016,Single Family Residential,65 Morris St,Asheville,NC,28806,191500,2,1.5,Asheville,990,10018,1948,679,193,,Sold,,,http://www.redfin.com/NC/Asheville/65-Morris-St-28806/home/104237981,CMLS,3159431,N,Y,35.5700885,-82.5963766
PAST SALE,August-16-2016,Single Family Residential,56 Talmage Ct,Asheville,NC,28806,191000,3,1.0,Asheville,960,10890,1978,603,199,,Sold,,,http://www.redfin.com/NC/Asheville/56-Talmadge-Ct-28806/home/108306351,CMLS,3196865,N,Y,35.5694159,-82.5945355
PAST SALE,May-15-2015,Single Family Residential,19 Gratitude Dr,Asheville,NC,28806,248000,3,2.5,Asheville,1482,2613,,1062,167,75,Sold,,,http://www.redfin.com/NC/Asheville/19-Gratitude-Dr-28806/home/102042019,CMLS,NCM578141,N,Y,35.5729499,-82.5855199
PAST SALE,July-6-2015,Single Family Residential,18 Gratitude Dr,Asheville,NC,28806,249900,3,3.0,Asheville,1330,1742,2015,1010,188,75,Sold,,,http://www.redfin.com/NC/Asheville/18-Gratitude-Dr-28806/home/102033751,CMLS,NCM587024,N,Y,35.5729499,-82.5855199
PAST SALE,September-1-2015,Single Family Residential,13 Brotherton Ave,Asheville,NC,28806,329000,3,2.0,Asheville,1519,7405,2015,953,217,,Sold,,,http://www.redfin.com/NC/Asheville/13-Brotherton-Ave-28806/home/110814486,CMLS,NCM589613,N,Y,35.5685877,-82.5887707
PAST SALE,December-29-2015,Single Family Residential,10 Grinnell St,Asheville,NC,28806,285100,3,3.5,Asheville,1594,3441,2015,834,179,,Sold,,,http://www.redfin.com/NC/Asheville/10-Grinnell-St-28806/home/102070924,CMLS,3130606,N,Y,35.5731747,-82.5857627
PAST SALE,March-29-2016,Vacant Land,Mildred Ave #15,Asheville,NC,28806,90000,,,Asheville,,7405,,743,,,Sold,,,http://www.redfin.com/NC/Asheville/15-Mildred-Ave-28806/unit-15/home/145050721,CMLS,3160637,N,Y,35.5792417,-82.5945844
PAST SALE,March-6-2017,Single Family Residential,95 Baker Ave,Asheville,NC,28806,322200,3,2.5,Asheville,1801,6969,1910,401,179,,Sold,,,http://www.redfin.com/NC/Asheville/95-Baker-Ave-28806/home/102026505,CMLS,3241764,N,Y,35.5809823,-82.5840011
PAST SALE,August-2-2016,Single Family Residential,13 Brucemont Pl,Asheville,NC,28806,465000,3,2.5,Asheville,2362,14810,1920,617,197,,Sold,,,http://www.redfin.com/NC/Asheville/13-Brucemont-Pl-28806/home/102027005,CMLS,3193122,N,Y,35.5822461,-82.5891335
PAST SALE,November-24-2015,Single Family Residential,183 Brevard Rd,Asheville,NC,28806,237500,3,1.5,Asheville,1000,10018,1965,869,238,,Sold,,,http://www.redfin.com/NC/Asheville/183-Brevard-Rd-28806/home/102027050,CMLS,NCM593775,N,Y,35.5715229,-82.5937793
